Year,Reference area,Sex,Age,Value
2023,Harare,Female,,0.0
2023,,,15 to 24 years old,45.4
2023,,Male,15 to 24 years old,39.8
2023,,Female,15 to 24 years old,51.1
2023,Bulawayo,,15 to 24 years old,39.8
2023,Manicaland,,15 to 24 years old,45.5
2023,Mashonaland Central,,15 to 24 years old,47.4
2023,Masholanad East,,15 to 24 years old,43.8
2023,Mashonaland West,,15 to 24 years old,49.5
2023,Matabeland North,,15 to 24 years old,57.9
2023,Matabeland South,,15 to 24 years old,52.1
2023,Midlands,,15 to 24 years old,46.8
2023,Masvingo,,15 to 24 years old,44.8
2023,Harare,,15 to 24 years old,37.7
2023,Bulawayo,Male,15 to 24 years old,36.6
2023,Manicaland,Male,15 to 24 years old,41.1
2023,Mashonaland Central,Male,15 to 24 years old,40.3
2023,Masholanad East,Male,15 to 24 years old,36.4
2023,Mashonaland West,Male,15 to 24 years old,42.5
2023,Matabeland North,Male,15 to 24 years old,53.1
2023,Matabeland South,Male,15 to 24 years old,43.3
2023,Midlands,Male,15 to 24 years old,42.3
2023,Masvingo,Male,15 to 24 years old,38.5
2023,Harare,Male,15 to 24 years old,32.1
2023,Bulawayo,Female,15 to 24 years old,42.4
2023,Manicaland,Female,15 to 24 years old,49.9
2023,Mashonaland Central,Female,15 to 24 years old,55.8
2023,Masholanad East,Female,15 to 24 years old,51.5
2023,Mashonaland West,Female,15 to 24 years old,57.3
2023,Matabeland North,Female,15 to 24 years old,64.0
2023,Matabeland South,Female,15 to 24 years old,59.5
2023,Midlands,Female,15 to 24 years old,51.4
2023,Masvingo,Female,15 to 24 years old,51.5
2023,Harare,Female,15 to 24 years old,42.2
